n ,t(comparison)
16,0.002
16,0.005
14,0.013
15,0.012
15,0.011
14,0.009
15,0.009
15,0.01
14,0.009
15,0.01
15,0.01
16,0.01
14,0.007
15,0.01
15,0.01
15,0.01
15,0.009
14,0.009
14,0.01
15,0.009
15,0.009
14,0.01
15,0.009
14,0.009
15,0.01
15,0.01
15,0.011
14,0.008
15,0.01
15,0.01
14,0.007
15,0.01
15,0.013
15,0.009
16,0.012
16,0.01
14,0.009
16,0.01
15,0.009
16,0.01
16,0.01
16,0.01
15,0.008
15,0.009
16,0.011
14,0.009
14,0.008
15,0.01
14,0.008
14,0.009
15,0.01
15,0.009
15,0.009
14,0.007
15,0.01
16,0.01
15,0.01
14,0.008
15,0.01
15,0.011
15,0.009
14,0.009
14,0.008
14,0.009
15,0.009
15,0.01
15,0.008
15,0.009
15,0.011
16,0.012
16,0.01
15,0.008
15,0.009
15,0.009
16,0.01
15,0.009
15,0.01
15,0.009
14,0.009
15,0.009
14,0.009
16,0.01
15,0.01
15,0.009
15,0.008
15,0.009
14,0.009
15,0.01
15,0.009
14,0.009
15,0.009
14,0.009
15,0.01
16,0.011
15,0.009
14,0.009
16,0.01
15,0.009
14,0.008
15,0.009
,
av_num,av_time
14,0.00936
